tissue	gene	HPA_expr
pancreas	ETV1	0.6
rectum	ETV1	4.8
skin	ETV1	1.2
bone marrow	AGK	4.9
colon	AGK	10.2
lung	AGK	12
pancreas	AGK	1.5
rectum	AGK	16.3
skin	AGK	7.7
bone marrow	ALDH3B1	30.7
colon	ALDH3B1	8.7
lung	ALDH3B1	67.7
pancreas	ALDH3B1	1.4
rectum	ALDH3B1	7.2
skin	ALDH3B1	3.6
bone marrow	TTC22	0.9
colon	TTC22	12.6
lung	TTC22	3.3
pancreas	TTC22	1.1
rectum	TTC22	12.3
skin	TTC22	22.7
bone marrow	PHTF2	7.8
colon	PHTF2	5.8
lung	PHTF2	11.4
pancreas	PHTF2	0.9
rectum	PHTF2	7.3
skin	PHTF2	8.1
bone marrow	CCL26	0.1
colon	CCL26	0.8
lung	CCL26	0.6
pancreas	CCL26	0
rectum	CCL26	7.6
skin	CCL26	1.6
bone marrow	FARP2	3.4
colon	FARP2	22.3
lung	FARP2	13.8
pancreas	FARP2	2
rectum	FARP2	23.5
skin	FARP2	24.4
bone marrow	USH1C	0
colon	USH1C	51.6
lung	USH1C	0
pancreas	USH1C	0.8
rectum	USH1C	53.2
skin	USH1C	0
bone marrow	GGCT	13.5
colon	GGCT	37
lung	GGCT	23
pancreas	GGCT	4.5
rectum	GGCT	42.7
skin	GGCT	65.3
bone marrow	DBF4	0.3
colon	DBF4	0.1
lung	DBF4	0.1
pancreas	DBF4	0
rectum	DBF4	0.2
skin	DBF4	0.3
bone marrow	TBXA2R	0.5
colon	TBXA2R	0.8
lung	TBXA2R	2.2
pancreas	TBXA2R	0.1
rectum	TBXA2R	0.5
skin	TBXA2R	0.8
bone marrow	IFRD1	129.9
colon	IFRD1	22.8
lung	IFRD1	37.6
pancreas	IFRD1	39.9
rectum	IFRD1	27.6
skin	IFRD1	33
bone marrow	LGALS14	0.3
colon	LGALS14	0.1
lung	LGALS14	0.3
pancreas	LGALS14	0.1
rectum	LGALS14	0.1
skin	LGALS14	1.2
bone marrow	COX10	7.5
colon	COX10	13.9
lung	COX10	7.4
pancreas	COX10	2.2
rectum	COX10	15.6
skin	COX10	7
bone marrow	GTF2IRD1	0.4
colon	GTF2IRD1	5.8
lung	GTF2IRD1	8
pancreas	GTF2IRD1	2.2
rectum	GTF2IRD1	6.2
skin	GTF2IRD1	20.2
bone marrow	PAF1	25.3
colon	PAF1	21.8
lung	PAF1	36.5
pancreas	PAF1	5.6
rectum	PAF1	24
skin	PAF1	26.1
bone marrow	VPS41	8.1
colon	VPS41	25.1
lung	VPS41	37.6
pancreas	VPS41	4.9
rectum	VPS41	22.1
skin	VPS41	19.2
bone marrow	ARHGAP44	0
colon	ARHGAP44	15.4
lung	ARHGAP44	18.1
pancreas	ARHGAP44	0.8
rectum	ARHGAP44	13.1
skin	ARHGAP44	1.3
bone marrow	ELAC2	13.3
colon	ELAC2	25.9
lung	ELAC2	28.2
pancreas	ELAC2	4.8
rectum	ELAC2	35.2
skin	ELAC2	27.3
bone marrow	SCIN	0.9
colon	SCIN	18.3
lung	SCIN	6.3
pancreas	SCIN	0.2
rectum	SCIN	17.7
skin	SCIN	4.6
bone marrow	ARSD	3.2
colon	ARSD	20.3
lung	ARSD	25.3
pancreas	ARSD	5
rectum	ARSD	16.1
skin	ARSD	8.5
bone marrow	PNPLA4	5.8
colon	PNPLA4	15.2
lung	PNPLA4	14.7
pancreas	PNPLA4	6.1
rectum	PNPLA4	13.6
skin	PNPLA4	17.8
bone marrow	MYH13	0
colon	MYH13	0
lung	MYH13	0
pancreas	MYH13	0
rectum	MYH13	0
skin	MYH13	0
bone marrow	ADIPOR2	11.9
colon	ADIPOR2	33.5
lung	ADIPOR2	38.8
pancreas	ADIPOR2	12.2
rectum	ADIPOR2	38.5
skin	ADIPOR2	29.7
bone marrow	CDKL3	0.1
colon	CDKL3	0.5
lung	CDKL3	0.7
pancreas	CDKL3	0.1
rectum	CDKL3	0.7
skin	CDKL3	0.8
bone marrow	UPP2	0
colon	UPP2	0
lung	UPP2	0
pancreas	UPP2	0
rectum	UPP2	0
skin	UPP2	0.4
bone marrow	PRSS21	4.7
colon	PRSS21	0.7
lung	PRSS21	3.2
pancreas	PRSS21	0.2
rectum	PRSS21	0.5
skin	PRSS21	0.3
bone marrow	MARK4	4.7
colon	MARK4	4.9
lung	MARK4	12.1
pancreas	MARK4	2.8
rectum	MARK4	5
skin	MARK4	20.1
bone marrow	PROM1	3.1
colon	PROM1	33.5
lung	PROM1	4.7
pancreas	PROM1	3
rectum	PROM1	19.5
skin	PROM1	0.1
bone marrow	CCDC124	27.5
colon	CCDC124	26.8
lung	CCDC124	30.1
pancreas	CCDC124	8.3
rectum	CCDC124	9.6
skin	CCDC124	32.6
bone marrow	CEACAM21	11
colon	CEACAM21	0.7
lung	CEACAM21	4.5
pancreas	CEACAM21	0
rectum	CEACAM21	0.8
skin	CEACAM21	0.1
bone marrow	PAFAH1B1	12.9
colon	PAFAH1B1	36.6
lung	PAFAH1B1	61.8
pancreas	PAFAH1B1	6.2
rectum	PAFAH1B1	39.8
skin	PAFAH1B1	58.3
bone marrow	NOS2	0
colon	NOS2	7
lung	NOS2	1.8
pancreas	NOS2	0
rectum	NOS2	9.8
skin	NOS2	0.1
bone marrow	DNAH9	0
colon	DNAH9	0.1
lung	DNAH9	4.3
pancreas	DNAH9	0.3
rectum	DNAH9	0
skin	DNAH9	0.4
bone marrow	KIAA0100	20.2
colon	KIAA0100	30.5
lung	KIAA0100	45.8
pancreas	KIAA0100	4.5
rectum	KIAA0100	38.5
skin	KIAA0100	37.8
bone marrow	SLC13A2	0
colon	SLC13A2	3.8
