tissue	gene	HPA_expr
bone marrow	CRIPAK	3.6
colon	CRIPAK	3.1
lung	CRIPAK	5.6
pancreas	CRIPAK	1.1
rectum	CRIPAK	3.7
skin	CRIPAK	15
bone marrow	TSHZ1	2.1
colon	TSHZ1	10.9
lung	TSHZ1	12.7
pancreas	TSHZ1	1.6
rectum	TSHZ1	10.5
skin	TSHZ1	13
bone marrow	PSTK	3.7
colon	PSTK	1.6
lung	PSTK	1.5
pancreas	PSTK	0.2
rectum	PSTK	1.7
skin	PSTK	0.8
bone marrow	SOCS4	4.6
colon	SOCS4	5.4
lung	SOCS4	9
pancreas	SOCS4	0.9
rectum	SOCS4	6.7
skin	SOCS4	6.2
bone marrow	ZADH2	12.8
colon	ZADH2	26.3
lung	ZADH2	24.6
pancreas	ZADH2	5.6
rectum	ZADH2	31.5
skin	ZADH2	26.2
bone marrow	OR1E1	0
colon	OR1E1	0
lung	OR1E1	0
pancreas	OR1E1	0
rectum	OR1E1	0
skin	OR1E1	0
bone marrow	ZNF48	1.5
colon	ZNF48	3.8
lung	ZNF48	5.8
pancreas	ZNF48	1
rectum	ZNF48	3
skin	ZNF48	3.2
bone marrow	FAM71E2	0
colon	FAM71E2	0
lung	FAM71E2	0
pancreas	FAM71E2	0
rectum	FAM71E2	0
skin	FAM71E2	0
bone marrow	C3orf80	0.4
colon	C3orf80	1.1
lung	C3orf80	1.2
pancreas	C3orf80	0
rectum	C3orf80	1.5
skin	C3orf80	0
bone marrow	NKX2-6	0
colon	NKX2-6	0
lung	NKX2-6	0
pancreas	NKX2-6	0
rectum	NKX2-6	0
skin	NKX2-6	0
bone marrow	TMEM150B	0.5
colon	TMEM150B	10.6
lung	TMEM150B	18.9
pancreas	TMEM150B	0.2
rectum	TMEM150B	8.3
skin	TMEM150B	0.1
bone marrow	ANKRD18A	11.3
colon	ANKRD18A	0.5
lung	ANKRD18A	0.4
pancreas	ANKRD18A	0.2
rectum	ANKRD18A	0.7
skin	ANKRD18A	1.5
bone marrow	WFDC11	1.7
colon	WFDC11	0.1
lung	WFDC11	0.1
pancreas	WFDC11	0
rectum	WFDC11	0
skin	WFDC11	1
bone marrow	TMEM86B	5.3
colon	TMEM86B	1.1
lung	TMEM86B	2.4
pancreas	TMEM86B	0.3
rectum	TMEM86B	0.9
skin	TMEM86B	3.8
bone marrow	OR3A1	0
colon	OR3A1	0
lung	OR3A1	0.1
pancreas	OR3A1	0
rectum	OR3A1	0
skin	OR3A1	0
bone marrow	SEPT1	0.5
colon	SEPT1	1.3
lung	SEPT1	2.1
pancreas	SEPT1	0.1
rectum	SEPT1	0
skin	SEPT1	1.5
bone marrow	TRNAU1AP	2.6
colon	TRNAU1AP	4.2
lung	TRNAU1AP	7.7
pancreas	TRNAU1AP	0.6
rectum	TRNAU1AP	4.8
skin	TRNAU1AP	8.2
bone marrow	EXOC3	15.4
colon	EXOC3	15.1
lung	EXOC3	25.3
pancreas	EXOC3	5.2
rectum	EXOC3	15.8
skin	EXOC3	30.9
bone marrow	TDRD6	0.1
colon	TDRD6	0.6
lung	TDRD6	1.2
pancreas	TDRD6	0
rectum	TDRD6	0.4
skin	TDRD6	4.3
bone marrow	C12orf40	0
colon	C12orf40	0
lung	C12orf40	0
pancreas	C12orf40	0
rectum	C12orf40	0
skin	C12orf40	0
bone marrow	CSNK1A1L	0.3
colon	CSNK1A1L	0
lung	CSNK1A1L	0
pancreas	CSNK1A1L	0
rectum	CSNK1A1L	0
skin	CSNK1A1L	0
bone marrow	LYNX1	0.2
colon	LYNX1	4.6
lung	LYNX1	10.2
pancreas	LYNX1	2.1
rectum	LYNX1	2.7
skin	LYNX1	28.1
bone marrow	TH	0
colon	TH	0
lung	TH	0
pancreas	TH	0
rectum	TH	0
skin	TH	0.9
bone marrow	MED14	14.1
colon	MED14	14
lung	MED14	15.2
pancreas	MED14	1.9
rectum	MED14	16.3
skin	MED14	19.6
bone marrow	FAHD1	6
colon	FAHD1	22.1
lung	FAHD1	10.6
pancreas	FAHD1	3.3
rectum	FAHD1	15.6
skin	FAHD1	17
bone marrow	TDRP	0.1
colon	TDRP	2.2
lung	TDRP	13.2
pancreas	TDRP	1.3
rectum	TDRP	2.6
skin	TDRP	3.5
bone marrow	RCC1	35.9
colon	RCC1	24.3
lung	RCC1	15.7
pancreas	RCC1	2.2
rectum	RCC1	31
skin	RCC1	16.9
bone marrow	WFDC9	0
colon	WFDC9	0
lung	WFDC9	0
pancreas	WFDC9	0
rectum	WFDC9	0
skin	WFDC9	0
bone marrow	MYLPF	0.4
colon	MYLPF	0.7
lung	MYLPF	0
pancreas	MYLPF	0
rectum	MYLPF	0.1
skin	MYLPF	0.2
bone marrow	F2	0
colon	F2	0
lung	F2	0
pancreas	F2	0
rectum	F2	0
skin	F2	0
bone marrow	FAM71C	0
colon	FAM71C	0
lung	FAM71C	0
pancreas	FAM71C	0
rectum	FAM71C	0
skin	FAM71C	0
bone marrow	PRKRA	14
colon	PRKRA	20.4
lung	PRKRA	29
pancreas	PRKRA	4.3
rectum	PRKRA	23.4
skin	PRKRA	32.4
bone marrow	ZNRF2	7.5
colon	ZNRF2	17
lung	ZNRF2	10
pancreas	ZNRF2	2
rectum	ZNRF2	16.1
skin	ZNRF2	10.8
bone marrow	RRH	0
colon	RRH	0
lung	RRH	0
pancreas	RRH	0
rectum	RRH	0.2
skin	RRH	0.5
bone marrow	SLC9A4	0.7
colon	SLC9A4	0.1
lung	SLC9A4	0.2
pancreas	SLC9A4	0
rectum	SLC9A4	0.1
skin	SLC9A4	0.6
bone marrow	ZNF816	2.3
colon	ZNF816	9.1
lung	ZNF816	8.5
pancreas	ZNF816	1.2
rectum	ZNF816	11.3
skin	ZNF816	6.3
bone marrow	PRNT	0
colon	PRNT	0
lung	PRNT	0
pancreas	PRNT	0
rectum	PRNT	0
skin	PRNT	0
bone marrow	FGD6	0.9
colon	FGD6	3.7
lung	FGD6	7.9
pancreas	FGD6	0.6
rectum	FGD6	4.7
skin	FGD6	9.4
bone marrow	ADGRD2	0
colon	ADGRD2	0
lung	ADGRD2	0
pancreas	ADGRD2	0
rectum	ADGRD2	0
skin	ADGRD2	0.5
bone marrow	GPR139	0
colon	GPR139	0
lung	GPR139	0
pancreas	GPR139	0
rectum	GPR139	0
skin	GPR139	0
bone marrow	PLD5	0
colon	PLD5	0.1
lung	PLD5	0.2
pancreas	PLD5	0.2
rectum	PLD5	0.1
skin	PLD5	0
bone marrow	OAZ2	20.5
colon	OAZ2	33.1
lung	OAZ2	73.7
pancreas	OAZ2	6.4
rectum	OAZ2	39.6
skin	OAZ2	35.7
bone marrow	WFDC10A	0
colon	WFDC10A	0
lung	WFDC10A	0
pancreas	WFDC10A	0
rectum	WFDC10A	0
skin	WFDC10A	0
bone marrow	PNPLA1	3.2
colon	PNPLA1	0.1
lung	PNPLA1	0.3
pancreas	PNPLA1	0
rectum	PNPLA1	0.1
skin	PNPLA1	35
bone marrow	ALX1	0
colon	ALX1	0
lung	ALX1	0
pancreas	ALX1	0
rectum	ALX1	0
skin	ALX1	1.7
bone marrow	CCDC43	13.1
colon	CCDC43	12.2
lung	CCDC43	14.6
pancreas	CCDC43	2
rectum	CCDC43	16.7
skin	CCDC43	13.6
bone marrow	KCTD4	0
colon	KCTD4	0.3
lung	KCTD4	0
pancreas	KCTD4	0
rectum	KCTD4	0.2
skin	KCTD4	3.7
bone marrow	MEIOC	0.6
colon	MEIOC	0
lung	MEIOC	0.2
pancreas	MEIOC	0
rectum	MEIOC	0
skin	MEIOC	1.1
bone marrow	FZD2	0.2
colon	FZD2	0.7
lung	FZD2	3.6
pancreas	FZD2	0
rectum	FZD2	0.3
skin	FZD2	0.4
bone marrow	TIGD2	1.6
colon	TIGD2	3.4
lung	TIGD2	4.7
pancreas	TIGD2	0.7
rectum	TIGD2	4.6
skin	TIGD2	2.1
bone marrow	CCDC129	0
colon	CCDC129	0.5
lung	CCDC129	0.1
pancreas	CCDC129	0
rectum	CCDC129	0.1
skin	CCDC129	0.6
bone marrow	HCLS1	98
colon	HCLS1	28.7
lung	HCLS1	77.3
pancreas	HCLS1	2.3
rectum	HCLS1	34.9
skin	HCLS1	10.8
bone marrow	MTURN	14.3
colon	MTURN	10.3
lung	MTURN	31.8
pancreas	MTURN	2.6
rectum	MTURN	11.2
skin	MTURN	19.2
bone marrow	ZNF609	3.7
colon	ZNF609	6.7
lung	ZNF609	14.1
pancreas	ZNF609	1.5
rectum	ZNF609	8.6
skin	ZNF609	7.5
bone marrow	PAK2	18.8
colon	PAK2	25.2
lung	PAK2	39.3
pancreas	PAK2	3.9
rectum	PAK2	29.5
skin	PAK2	19.8
bone marrow	CCDC66	2.2
colon	CCDC66	3.4
lung	CCDC66	5.5
pancreas	CCDC66	0.7
rectum	CCDC66	4.7
skin	CCDC66	3.2
bone marrow	DEFB124	0
colon	DEFB124	0.4
lung	DEFB124	0.5
pancreas	DEFB124	0
rectum	DEFB124	0.7
skin	DEFB124	0
bone marrow	KRTAP9-7	0
colon	KRTAP9-7	0
lung	KRTAP9-7	0
pancreas	KRTAP9-7	0
rectum	KRTAP9-7	0
skin	KRTAP9-7	0
bone marrow	ATP5EP2	0
colon	ATP5EP2	0
lung	ATP5EP2	0
pancreas	ATP5EP2	0
rectum	ATP5EP2	0.1
skin	ATP5EP2	0
bone marrow	MCFD2	24.5
colon	MCFD2	26.8
lung	MCFD2	68.7
pancreas	MCFD2	19.2
rectum	MCFD2	30.5
skin	MCFD2	32.9
bone marrow	HARBI1	3.6
colon	HARBI1	3
lung	HARBI1	3.2
pancreas	HARBI1	0.4
rectum	HARBI1	3.8
skin	HARBI1	3.7
bone marrow	DEFB123	0
colon	DEFB123	0
lung	DEFB123	0
pancreas	DEFB123	0
rectum	DEFB123	0
skin	DEFB123	0
bone marrow	C11orf71	2.3
colon	C11orf71	6.8
lung	C11orf71	7.4
pancreas	C11orf71	1.6
rectum	C11orf71	6.8
skin	C11orf71	8.4
bone marrow	CYP8B1	0
colon	CYP8B1	0
lung	CYP8B1	0
pancreas	CYP8B1	0
rectum	CYP8B1	0
skin	CYP8B1	0.5
bone marrow	OR6K6	0
colon	OR6K6	0
lung	OR6K6	0
pancreas	OR6K6	0
rectum	OR6K6	0
skin	OR6K6	0
bone marrow	SERTM1	0
colon	SERTM1	0.1
lung	SERTM1	7.9
pancreas	SERTM1	0
rectum	SERTM1	0
skin	SERTM1	0.1
bone marrow	GAS1	0.1
colon	GAS1	4.8
lung	GAS1	10
pancreas	GAS1	1.6
rectum	GAS1	2.9
skin	GAS1	25.9
bone marrow	ARHGAP45	44
colon	ARHGAP45	5.5
lung	ARHGAP45	20
pancreas	ARHGAP45	0.2
rectum	ARHGAP45	2.9
skin	ARHGAP45	3.5
bone marrow	OR10Q1	0
colon	OR10Q1	0
lung	OR10Q1	0
pancreas	OR10Q1	0
rectum	OR10Q1	0
skin	OR10Q1	0
bone marrow	ZNF571	5.2
colon	ZNF571	3
lung	ZNF571	5.9
pancreas	ZNF571	0.6
rectum	ZNF571	3.9
skin	ZNF571	10.1
bone marrow	GLIPR1L2	0.3
colon	GLIPR1L2	0.6
lung	GLIPR1L2	1.9
pancreas	GLIPR1L2	0.6
rectum	GLIPR1L2	0.4
skin	GLIPR1L2	2.3
bone marrow	DEFB119	0
colon	DEFB119	0
lung	DEFB119	0
pancreas	DEFB119	0
rectum	DEFB119	0
skin	DEFB119	0
bone marrow	MIGA1	2.9
colon	MIGA1	6.8
lung	MIGA1	9.5
pancreas	MIGA1	1.5
rectum	MIGA1	6.2
skin	MIGA1	5.2
bone marrow	KCNE1	0.6
colon	KCNE1	0
lung	KCNE1	2.7
pancreas	KCNE1	0
rectum	KCNE1	0.1
skin	KCNE1	0
bone marrow	PRR26	0.1
colon	PRR26	4
lung	PRR26	0.3
pancreas	PRR26	1.1
rectum	PRR26	5.1
skin	PRR26	0.4
bone marrow	NRIP1	17.2
colon	NRIP1	18.3
lung	NRIP1	13.6
pancreas	NRIP1	3.1
rectum	NRIP1	20.2
skin	NRIP1	5
bone marrow	ZSCAN4	0.2
colon	ZSCAN4	0.1
lung	ZSCAN4	0.5
pancreas	ZSCAN4	0
rectum	ZSCAN4	0.2
skin	ZSCAN4	0.8
bone marrow	BHLHA15	0.1
colon	BHLHA15	3.3
lung	BHLHA15	0.9
pancreas	BHLHA15	85.5
rectum	BHLHA15	0.6
skin	BHLHA15	0
bone marrow	RNF182	4.9
colon	RNF182	0.1
lung	RNF182	4.2
pancreas	RNF182	0.3
rectum	RNF182	0.1
skin	RNF182	0.2
bone marrow	TSPYL5	0.7
colon	TSPYL5	3
lung	TSPYL5	10.5
pancreas	TSPYL5	1.8
rectum	TSPYL5	3.6
skin	TSPYL5	3.3
bone marrow	FUT7	2
colon	FUT7	0
lung	FUT7	0.5
pancreas	FUT7	0
rectum	FUT7	0
skin	FUT7	0.2
bone marrow	HIST1H2AC	12.4
colon	HIST1H2AC	15.1
lung	HIST1H2AC	14.6
pancreas	HIST1H2AC	2.3
rectum	HIST1H2AC	14
skin	HIST1H2AC	8
bone marrow	EIF2S3L	0
colon	EIF2S3L	0.1
lung	EIF2S3L	0.1
pancreas	EIF2S3L	0
rectum	EIF2S3L	0
skin	EIF2S3L	0
bone marrow	SKIDA1	0.4
colon	SKIDA1	0.2
lung	SKIDA1	0.4
pancreas	SKIDA1	0.1
rectum	SKIDA1	0.2
skin	SKIDA1	1.2
bone marrow	HIST1H2BC	16.6
colon	HIST1H2BC	3
lung	HIST1H2BC	5.2
pancreas	HIST1H2BC	0.5
rectum	HIST1H2BC	2.6
skin	HIST1H2BC	1.9
bone marrow	MB21D2	0.6
colon	MB21D2	2.2
lung	MB21D2	4.8
pancreas	MB21D2	0.3
rectum	MB21D2	2.9
skin	MB21D2	4.2
bone marrow	GSX2	0
colon	GSX2	0
lung	GSX2	0
pancreas	GSX2	0
rectum	GSX2	0
skin	GSX2	0.2
bone marrow	SSTR2	0.8
colon	SSTR2	0.9
lung	SSTR2	0.7
pancreas	SSTR2	0.1
rectum	SSTR2	1.2
skin	SSTR2	0.9
bone marrow	ZNF594	0.4
colon	ZNF594	2
lung	ZNF594	3.5
pancreas	ZNF594	0.4
rectum	ZNF594	3.1
skin	ZNF594	2.6
bone marrow	PCGF5	3.6
colon	PCGF5	15.2
lung	PCGF5	19.8
pancreas	PCGF5	3.4
rectum	PCGF5	15.6
skin	PCGF5	13.4
bone marrow	SLC47A2	0
colon	SLC47A2	0
lung	SLC47A2	0
pancreas	SLC47A2	0
rectum	SLC47A2	0
skin	SLC47A2	2.4
bone marrow	PRF1	16.1
colon	PRF1	2.2
lung	PRF1	19.2
pancreas	PRF1	0.2
rectum	PRF1	1.6
skin	PRF1	1
bone marrow	OR2A4	0
colon	OR2A4	0
lung	OR2A4	0
pancreas	OR2A4	0
rectum	OR2A4	0
skin	OR2A4	0
bone marrow	MAB21L1	0
colon	MAB21L1	0.5
lung	MAB21L1	0.2
pancreas	MAB21L1	0
rectum	MAB21L1	0.5
skin	MAB21L1	0
bone marrow	YOD1	37.1
colon	YOD1	3.9
lung	YOD1	5.9
pancreas	YOD1	0.6
rectum	YOD1	4.4
skin	YOD1	17.8
bone marrow	TMEM64	2
colon	TMEM64	6.1
lung	TMEM64	13.9
pancreas	TMEM64	3.2
rectum	TMEM64	6.1
skin	TMEM64	7.4
bone marrow	C3orf22	0
colon	C3orf22	0
lung	C3orf22	0
pancreas	C3orf22	0
rectum	C3orf22	0
skin	C3orf22	0
bone marrow	OR10K2	0
colon	OR10K2	0
lung	OR10K2	0
pancreas	OR10K2	0
rectum	OR10K2	0
skin	OR10K2	0
bone marrow	CHRM4	1
colon	CHRM4	0.2
lung	CHRM4	0.4
pancreas	CHRM4	0
rectum	CHRM4	0.2
skin	CHRM4	1.3
bone marrow	SHISA2	0.1
colon	SHISA2	0.1
lung	SHISA2	8.5
pancreas	SHISA2	0
rectum	SHISA2	0.2
skin	SHISA2	0.3
bone marrow	S1PR5	11.1
colon	S1PR5	0.3
lung	S1PR5	2.6
pancreas	S1PR5	0
rectum	S1PR5	0.1
skin	S1PR5	22.1
bone marrow	CLRN3	0
colon	CLRN3	69.9
lung	CLRN3	0
pancreas	CLRN3	0
rectum	CLRN3	76.3
skin	CLRN3	0
bone marrow	GPR157	0.8
colon	GPR157	3
lung	GPR157	9.6
pancreas	GPR157	0.7
rectum	GPR157	2.4
skin	GPR157	21.4
bone marrow	CHST13	0.4
colon	CHST13	0.3
lung	CHST13	0.3
pancreas	CHST13	0
rectum	CHST13	0.1
skin	CHST13	0
bone marrow	AGTR2	0
colon	AGTR2	0
lung	AGTR2	12.6
pancreas	AGTR2	0.2
rectum	AGTR2	0
skin	AGTR2	0
bone marrow	SLC36A4	12.6
colon	SLC36A4	5.1
lung	SLC36A4	8.4
pancreas	SLC36A4	1.2
rectum	SLC36A4	7.1
skin	SLC36A4	4.9
bone marrow	ZDHHC20	19.8
colon	ZDHHC20	17.9
lung	ZDHHC20	27.5
pancreas	ZDHHC20	2
rectum	ZDHHC20	19
skin	ZDHHC20	26.8
bone marrow	ANKRD30B	0
colon	ANKRD30B	0
lung	ANKRD30B	0
pancreas	ANKRD30B	0
rectum	ANKRD30B	0
skin	ANKRD30B	0
bone marrow	OR51E1	0
colon	OR51E1	1
lung	OR51E1	0.1
pancreas	OR51E1	0
rectum	OR51E1	0.9
skin	OR51E1	0.2
bone marrow	ZFP3	0.6
colon	ZFP3	4.5
lung	ZFP3	5.5
pancreas	ZFP3	0.8
rectum	ZFP3	6
skin	ZFP3	4
bone marrow	ARSJ	0
colon	ARSJ	2.1
lung	ARSJ	4.5
pancreas	ARSJ	0.2
rectum	ARSJ	3.6
skin	ARSJ	0.3
bone marrow	HOXC9	0
colon	HOXC9	0
lung	HOXC9	0
pancreas	HOXC9	0
rectum	HOXC9	0
skin	HOXC9	2.2
bone marrow	MAP3K15	0.2
colon	MAP3K15	0
lung	MAP3K15	0.5
pancreas	MAP3K15	0.1
rectum	MAP3K15	0
skin	MAP3K15	0
bone marrow	PPA1	52.5
colon	PPA1	135.9
lung	PPA1	171.6
pancreas	PPA1	30.7
rectum	PPA1	168.7
skin	PPA1	72.4
bone marrow	HOXC10	0
colon	HOXC10	0.1
lung	HOXC10	0
pancreas	HOXC10	0
rectum	HOXC10	0
skin	HOXC10	8.4
bone marrow	PSMG4	8.2
colon	PSMG4	9.5
lung	PSMG4	12.9
pancreas	PSMG4	5.2
rectum	PSMG4	7.2
skin	PSMG4	16.9
bone marrow	BHLHE22	0
colon	BHLHE22	0.7
lung	BHLHE22	0.9
pancreas	BHLHE22	0.1
rectum	BHLHE22	0.6
skin	BHLHE22	0.3
bone marrow	MAP6D1	0.1
colon	MAP6D1	0.4
lung	MAP6D1	0.6
pancreas	MAP6D1	0.9
rectum	MAP6D1	0.5
skin	MAP6D1	3.6
bone marrow	ZNF443	0.4
colon	ZNF443	2.7
lung	ZNF443	2.3
pancreas	ZNF443	0.4
rectum	ZNF443	3.6
skin	ZNF443	4.4
bone marrow	CXCR2	4.6
colon	CXCR2	0.9
lung	CXCR2	9.5
pancreas	CXCR2	0.6
rectum	CXCR2	0.8
skin	CXCR2	5.7
bone marrow	DEFB112	0
colon	DEFB112	0
lung	DEFB112	0
pancreas	DEFB112	0
rectum	DEFB112	0
skin	DEFB112	0
bone marrow	GREM2	0.1
colon	GREM2	16.9
lung	GREM2	1.8
pancreas	GREM2	0
rectum	GREM2	22.6
skin	GREM2	4.2
bone marrow	C11orf42	0.1
colon	C11orf42	0.2
lung	C11orf42	0.1
pancreas	C11orf42	0
rectum	C11orf42	0
skin	C11orf42	1.8
bone marrow	SSR4	287.4
colon	SSR4	334.5
lung	SSR4	201.7
pancreas	SSR4	624.1
rectum	SSR4	269.2
skin	SSR4	126
bone marrow	CAPS2	0.3
colon	CAPS2	0.6
lung	CAPS2	3.7
pancreas	CAPS2	0.2
rectum	CAPS2	0.7
skin	CAPS2	1.1
bone marrow	ZNF792	0.8
colon	ZNF792	1.9
lung	ZNF792	6.2
pancreas	ZNF792	0.2
rectum	ZNF792	2.6
skin	ZNF792	1.1
bone marrow	CUEDC1	5.7
colon	CUEDC1	13.9
lung	CUEDC1	31.8
pancreas	CUEDC1	3.7
rectum	CUEDC1	11.7
skin	CUEDC1	9
bone marrow	SCRIB	3.4
colon	SCRIB	9.8
lung	SCRIB	7.3
pancreas	SCRIB	1.9
rectum	SCRIB	3.8
skin	SCRIB	22
bone marrow	KCTD2	0.3
colon	KCTD2	1.3
lung	KCTD2	0.6
pancreas	KCTD2	0
rectum	KCTD2	0
skin	KCTD2	0
bone marrow	D2HGDH	12.2
colon	D2HGDH	16.3
lung	D2HGDH	16
pancreas	D2HGDH	3.4
rectum	D2HGDH	15.8
skin	D2HGDH	46.5
bone marrow	OXTR	0.4
colon	OXTR	0.1
lung	OXTR	1.4
pancreas	OXTR	0
rectum	OXTR	0.2
skin	OXTR	0.3
bone marrow	CMTR2	3.5
colon	CMTR2	8.6
lung	CMTR2	14.1
pancreas	CMTR2	1.2
rectum	CMTR2	9.9
skin	CMTR2	10.4
bone marrow	OR56B4	0
colon	OR56B4	0
lung	OR56B4	0
pancreas	OR56B4	0
rectum	OR56B4	0
skin	OR56B4	0
bone marrow	FAM83H	0.1
colon	FAM83H	4.3
lung	FAM83H	4
pancreas	FAM83H	0.9
rectum	FAM83H	2.3
skin	FAM83H	17.2
bone marrow	GPR62	0
colon	GPR62	0
lung	GPR62	0
pancreas	GPR62	0
rectum	GPR62	0
skin	GPR62	0
bone marrow	OR56A1	0
colon	OR56A1	0
lung	OR56A1	0
pancreas	OR56A1	0
rectum	OR56A1	0
skin	OR56A1	0
bone marrow	ZNF572	0
colon	ZNF572	1
lung	ZNF572	1.2
pancreas	ZNF572	0.1
rectum	ZNF572	1.4
skin	ZNF572	1
bone marrow	ST20	3
colon	ST20	4.1
lung	ST20	4.9
pancreas	ST20	0.6
rectum	ST20	3
skin	ST20	8.2
bone marrow	PITPNB	13.6
colon	PITPNB	26.2
lung	PITPNB	35.7
pancreas	PITPNB	5.9
rectum	PITPNB	33.4
skin	PITPNB	35.8
bone marrow	TCEAL8	17.2
colon	TCEAL8	44.2
lung	TCEAL8	59.7
pancreas	TCEAL8	7.8
rectum	TCEAL8	50.4
skin	TCEAL8	44.3
bone marrow	OR52E4	0
colon	OR52E4	0
lung	OR52E4	0
pancreas	OR52E4	0
rectum	OR52E4	0
skin	OR52E4	0
bone marrow	LRRC57	14.9
colon	LRRC57	9.8
lung	LRRC57	12.5
pancreas	LRRC57	1.3
rectum	LRRC57	12.4
skin	LRRC57	11.3
bone marrow	OR52N2	0
colon	OR52N2	0
lung	OR52N2	0
pancreas	OR52N2	0
rectum	OR52N2	0
skin	OR52N2	0.1
bone marrow	MRPL14	12.8
colon	MRPL14	36.3
lung	MRPL14	85.6
pancreas	MRPL14	4.4
rectum	MRPL14	38.3
skin	MRPL14	33.9
bone marrow	GPR137C	1.2
colon	GPR137C	0.4
lung	GPR137C	1.1
pancreas	GPR137C	0
rectum	GPR137C	0.6
skin	GPR137C	0.9
bone marrow	C1orf105	1.2
colon	C1orf105	0
lung	C1orf105	0
pancreas	C1orf105	0.1
rectum	C1orf105	0
skin	C1orf105	0.4
bone marrow	OR52N1	0
colon	OR52N1	0
lung	OR52N1	0
pancreas	OR52N1	0
rectum	OR52N1	0
skin	OR52N1	0
bone marrow	BBS12	0.2
colon	BBS12	1.9
lung	BBS12	3.5
pancreas	BBS12	0.3
rectum	BBS12	2.2
skin	BBS12	1.2
bone marrow	ZFP82	0.4
colon	ZFP82	1.3
lung	ZFP82	3.5
pancreas	ZFP82	0.2
rectum	ZFP82	1.6
skin	ZFP82	0.7
bone marrow	OR52N5	0
colon	OR52N5	0
lung	OR52N5	0
pancreas	OR52N5	0
rectum	OR52N5	0
skin	OR52N5	0
bone marrow	C17orf47	0
colon	C17orf47	0
lung	C17orf47	0.1
pancreas	C17orf47	0
rectum	C17orf47	0
skin	C17orf47	0.2
bone marrow	LSMEM1	0.7
colon	LSMEM1	0.7
lung	LSMEM1	1.2
pancreas	LSMEM1	0.3
rectum	LSMEM1	1
skin	LSMEM1	1.2
bone marrow	NQO1	0.5
colon	NQO1	93.8
lung	NQO1	32.9
pancreas	NQO1	1.3
rectum	NQO1	88.9
skin	NQO1	7.1
bone marrow	OR56B1	0
colon	OR56B1	0
lung	OR56B1	0
pancreas	OR56B1	0
rectum	OR56B1	0
skin	OR56B1	0
bone marrow	AEN	10.6
colon	AEN	7.7
lung	AEN	8.5
pancreas	AEN	3.3
rectum	AEN	9.6
skin	AEN	4.4
bone marrow	FKRP	5.7
colon	FKRP	5.3
lung	FKRP	10
pancreas	FKRP	1.7
rectum	FKRP	4.8
skin	FKRP	7
bone marrow	TRAPPC5	38.8
colon	TRAPPC5	24.6
lung	TRAPPC5	14.3
pancreas	TRAPPC5	8.5
rectum	TRAPPC5	9.2
skin	TRAPPC5	25.9
bone marrow	RPH3AL	0.2
colon	RPH3AL	3.4
lung	RPH3AL	6.7
pancreas	RPH3AL	6
rectum	RPH3AL	2.9
skin	RPH3AL	1.9
bone marrow	SLC25A42	5.3
colon	SLC25A42	4.2
lung	SLC25A42	7.7
pancreas	SLC25A42	1.5
rectum	SLC25A42	2.7
skin	SLC25A42	5.9
bone marrow	FCRL6	4.7
colon	FCRL6	0.7
lung	FCRL6	8.9
pancreas	FCRL6	0
rectum	FCRL6	0.6
skin	FCRL6	0.2
bone marrow	METTL23	17.7
colon	METTL23	25.8
lung	METTL23	32.4
pancreas	METTL23	7.2
rectum	METTL23	30.5
skin	METTL23	21.9
bone marrow	SLC26A11	10.4
colon	SLC26A11	5.5
lung	SLC26A11	16.4
pancreas	SLC26A11	1.4
rectum	SLC26A11	4.6
skin	SLC26A11	13.7
bone marrow	HIGD1A	32.4
colon	HIGD1A	293.3
lung	HIGD1A	106.2
pancreas	HIGD1A	12.5
rectum	HIGD1A	328.9
skin	HIGD1A	83.1
bone marrow	CHRM2	0
colon	CHRM2	3
lung	CHRM2	0.9
pancreas	CHRM2	0
rectum	CHRM2	4.3
skin	CHRM2	0.1
bone marrow	OR52N4	0.3
colon	OR52N4	0.2
lung	OR52N4	0.9
pancreas	OR52N4	0
rectum	OR52N4	0.4
skin	OR52N4	0.4
bone marrow	MAPK15	0
colon	MAPK15	0.2
lung	MAPK15	10.6
pancreas	MAPK15	0.2
rectum	MAPK15	0.3
skin	MAPK15	5.5
bone marrow	EHMT1	20
colon	EHMT1	15.5
lung	EHMT1	22.5
pancreas	EHMT1	3.1
rectum	EHMT1	14.5
skin	EHMT1	22.6
bone marrow	ADIPOQ	0.1
colon	ADIPOQ	8.3
lung	ADIPOQ	0.2
pancreas	ADIPOQ	1.3
rectum	ADIPOQ	7
skin	ADIPOQ	0.2
bone marrow	F2R	2.4
colon	F2R	9.5
lung	F2R	29.8
pancreas	F2R	2
rectum	F2R	12.7
skin	F2R	53
bone marrow	ZNF707	1.3
colon	ZNF707	1.5
lung	ZNF707	2.5
pancreas	ZNF707	0.5
rectum	ZNF707	1.1
skin	ZNF707	4.9
bone marrow	MUC16	0
colon	MUC16	0
lung	MUC16	0.7
pancreas	MUC16	0
rectum	MUC16	0
skin	MUC16	1.9
bone marrow	NPM1	500.3
colon	NPM1	351
lung	NPM1	383.3
pancreas	NPM1	99.2
rectum	NPM1	475.6
skin	NPM1	385.9
bone marrow	PJA1	2
colon	PJA1	7.1
lung	PJA1	15.5
pancreas	PJA1	1.6
rectum	PJA1	7.4
skin	PJA1	11.9
bone marrow	DHTKD1	2.5
colon	DHTKD1	10
lung	DHTKD1	8.2
pancreas	DHTKD1	3.8
rectum	DHTKD1	11.8
skin	DHTKD1	6.7
