cancer	hugo_symbol	p_val	t_am	t_bm_ge	num_samples_per_cancer	num_mut_per_cancer	num_samples_per_cancer_allele	num_mut_per_cancer_allele
LUAD	OR8D2	0.0066	245	66	889	19	NA	0
LUAD	OR8H2	0.0024	255	24	889	43	NA	0
LUAD	OR8J1	0.003	249	30	889	27	NA	0
LUAD	OR8K3	0.0016	251	16	889	29	NA	0
LUAD	OR8K5	0.0022	250	22	889	30	NA	0
LUAD	OR8U1	0.0077	252	77	889	40	NA	0
LUAD	OR9G4	0.0091	244	91	889	18	NA	0
LUAD	OTOP1	0.0036	249	36	889	27	NA	0
LUAD	OTUD7A	0.0013	249	13	889	23	NA	0
LUAD	P2RY10	0.002	251	20	889	31	NA	0
LUAD	PAK7	0.0041	257	41	889	55	NA	0
LUAD	PASD1	0.0067	249	67	889	31	NA	0
LUAD	PASK	0.0074	245	74	889	19	NA	0
LUAD	PAX4	5e-5	250	0	889	22	NA	0
LUAD	PCDH11Y	3e-4	252	3	889	26	NA	0
LUAD	PCDH15	2e-4	303	2	889	169	NA	0
LUAD	PCDHA7	0.005	251	50	889	35	NA	0
LUAD	PCDHA8	0.0038	250	38	889	32	NA	0
LUAD	PCDHA9	0.0071	252	71	889	40	NA	0
LUAD	PCDHB1	0.0081	247	81	889	27	NA	0
LUAD	PCDHB10	0.0055	252	55	889	40	NA	0
LUAD	PCDHB2	0.0081	254	81	889	48	NA	0
LUAD	PCDHB4	0.0093	254	93	889	48	NA	0
LUAD	PCDHB8	7e-4	263	7	889	61	NA	0
LUAD	PCDHGA3	9e-4	260	9	889	52	NA	0
LUAD	PCDHGA6	1e-4	259	1	889	41	NA	0
LUAD	PCLO	3e-4	300	3	889	162	NA	0
LUAD	PDE1C	3e-4	258	3	889	48	NA	0
LUAD	PDE3A	0.0045	255	45	889	47	NA	0
LUAD	PDE4DIP	5e-5	268	0	889	62	NA	0
LUAD	PDE6A	7e-4	251	7	889	25	NA	0
LUAD	PDHA2	7e-4	256	7	889	38	NA	0
LUAD	PDZD2	0.0079	250	79	889	34	NA	0
LUAD	PDZD8	5e-5	253	0	889	25	NA	0
LUAD	PEG3	8e-4	277	8	889	95	NA	0
LUAD	PEX5L	0.0045	251	45	889	35	NA	0
LUAD	PGM5	0.0031	246	31	889	20	NA	0
LUAD	PHF14	0.0077	247	77	889	25	NA	0
LUAD	PHF20L1	2e-4	252	2	889	26	NA	0
LUAD	PHF8	0.0099	244	99	889	18	NA	0
LUAD	PIEZO2	0.0091	247	91	889	27	NA	0
LUAD	PIK3AP1	0.0023	251	23	889	31	NA	0
LUAD	PIK3CA	9e-4	256	9	889	40	NA	0
LUAD	PIK3CG	0.005	257	50	889	55	NA	0
LUAD	PIK3R4	5e-4	250	5	889	24	NA	0
LUAD	PIKFYVE	1e-4	254	1	889	28	NA	0
LUAD	PIWIL1	0.0036	250	36	889	30	NA	0
LUAD	PKD1L1	5e-5	276	0	889	72	NA	0
LUAD	PKHD1	5e-5	290	0	889	106	NA	0
LUAD	PKHD1L1	0.0011	281	11	889	113	NA	0
LUAD	PLAT	0.0019	246	19	889	18	NA	0
LUAD	PLCB1	0.0024	263	24	889	65	NA	0
LUAD	PLCE1	0.0053	253	53	889	43	NA	0
LUAD	PLCH2	0.0078	246	78	889	22	NA	0
LUAD	PLCL1	0.0085	255	85	889	51	NA	0
LUAD	PLD1	0.0034	249	34	889	27	NA	0
LUAD	PLEC	0.0014	268	14	889	78	NA	0
LUAD	PLEKHG3	5e-4	249	5	889	21	NA	0
LUAD	PLEKHG4B	0.0055	251	55	889	35	NA	0
LUAD	PLEKHH2	0.0024	247	24	889	21	NA	0
LUAD	PLXDC2	0.003	248	30	889	24	NA	0
LUAD	PLXNA4	0.0033	269	33	889	91	NA	0
LUAD	PLXNB2	0.0058	251	58	889	35	NA	0
LUAD	PNLIP	4e-4	252	4	889	26	NA	0
LUAD	POLQ	0.0071	255	71	889	51	NA	0
LUAD	POM121L12	0.0074	263	74	889	75	NA	0
LUAD	POP1	1e-4	251	1	889	25	NA	0
LUAD	POT1	0.0077	247	77	889	25	NA	0
LUAD	POTEE	0.0036	261	36	889	65	NA	0
LUAD	POTEG	0.0044	261	44	889	67	NA	0
LUAD	PPP1R3A	5e-5	271	0	889	65	NA	0
LUAD	PRAMEF12	0.0039	247	39	889	23	NA	0
LUAD	PRAMEF2	0.0048	248	48	889	26	NA	0
LUAD	PRDM16	0.0038	250	38	889	30	NA	0
LUAD	PRDM9	0.0076	273	76	889	113	NA	0
LUAD	PREX1	0.0098	255	98	889	53	NA	0
LUAD	PREX2	5e-4	260	5	889	46	NA	0
LUAD	PRKCB	0.002	252	20	889	32	NA	0
LUAD	PROX1	0.0021	252	21	889	34	NA	0
LUAD	PRRC2B	0.002	248	20	889	22	NA	0
LUAD	PRRC2C	0.0048	250	48	889	30	NA	0
LUAD	PRSS55	0.0084	244	84	889	18	NA	0
LUAD	PRTG	0.0096	244	96	889	18	NA	0
LUAD	PSG1	0.002	249	20	889	25	NA	0
LUAD	PSG3	6e-4	249	6	889	23	NA	0
LUAD	PSG8	0.0076	251	76	889	37	NA	0
LUAD	PSME4	0.0037	248	37	889	26	NA	0
LUAD	PTCHD4	0.0099	250	99	889	36	NA	0
LUAD	PTPN13	0.0026	249	26	889	27	NA	0
LUAD	PTPRC	2e-4	266	2	889	58	NA	0
LUAD	PTPRD	0.004	281	40	889	129	NA	0
LUAD	PTPRN2	0.0067	254	67	889	46	NA	0
LUAD	PTPRR	6e-4	249	6	889	23	NA	0
LUAD	PTPRZ1	0.0028	267	28	889	85	NA	0
LUAD	PYHIN1	0.0044	252	44	889	38	NA	0
LUAD	QSER1	6e-4	250	6	889	24	NA	0
LUAD	RAB11FIP1	0.002	249	20	889	25	NA	0
LUAD	RALGAPA1	0.0071	246	71	889	22	NA	0
LUAD	RANBP17	0.0059	245	59	889	19	NA	0
LUAD	RB1	5e-5	263	0	889	43	NA	0
LUAD	RBM19	0.0049	249	49	889	29	NA	0
LUAD	RBP3	0.0038	255	38	889	45	NA	0
LUAD	REG3A	0.0041	254	41	889	42	NA	0
LUAD	RELN	0.002	281	20	889	127	NA	0
LUAD	REV3L	0.0011	250	11	889	26	NA	0
LUAD	RGPD3	0.0014	254	14	889	36	NA	0
LUAD	RGPD4	0.0012	265	12	889	69	NA	0
LUAD	RGS12	1e-4	255	1	889	31	NA	0
LUAD	RGS18	0.0067	246	67	889	22	NA	0
LUAD	RGS22	0.0014	254	14	889	36	NA	0
LUAD	RGS6	0.0063	246	63	889	22	NA	0
LUAD	RGS7	0.002	255	20	889	41	NA	0
LUAD	RGS9	0.007	245	70	889	19	NA	0
LUAD	RIF1	5e-4	257	5	889	41	NA	0
LUAD	RIMS1	0.0075	253	75	889	43	NA	0
LUAD	ROBO3	0.005	249	50	889	29	NA	0
LUAD	ROS1	5e-5	259	0	889	37	NA	0
LUAD	RP1	1e-4	265	1	889	61	NA	0
