dep_map_id	hugo_symbol	entrez_id	gene_effect	cancer	kras_allele	kras_codon	kras_cn	is_deleted	is_mutated	rna_expression	rna_expression_std
ACH-000651	PAX6	5080	0.00685638367172	COAD	G12V	12	3.067188855179383	FALSE	FALSE	1.92599941856	0.6242418338800081
ACH-000651	PRMT7	54496	-0.297083265074	COAD	G12V	12	3.067188855179383	FALSE	FALSE	6.81595961821	1.893101924938144
ACH-000651	PSMB7	5695	-0.706290146262	COAD	G12V	12	3.067188855179383	FALSE	FALSE	7.81262657328	-0.06507517212260798
ACH-000651	RNASE6	6039	0.26014676937	COAD	G12V	12	3.067188855179383	FALSE	FALSE	0	-0.9522058070538775
ACH-000651	RPP25	54913	0.393237575487	COAD	G12V	12	3.067188855179383	FALSE	FALSE	4.23496109484	0.5101654915792081
ACH-000651	SERPING1	710	-0.197004317214	COAD	G12V	12	3.067188855179383	FALSE	FALSE	0.0426443374085	-0.6703187754373621
ACH-000651	STARD9	57519	-0.181810159329	COAD	G12V	12	3.067188855179383	FALSE	TRUE	1.77399632511	1.039318179491908
ACH-000651	THSD7A	221981	0.203189904084	COAD	G12V	12	3.067188855179383	FALSE	FALSE	0.0143552929771	-0.4944237983379453
ACH-000651	TMEM25	84866	-1.38564574598e-4	COAD	G12V	12	3.067188855179383	FALSE	FALSE	3.58496250072	1.1903200945782602
ACH-000651	TSPAN8	7103	-0.0355824217031	COAD	G12V	12	3.067188855179383	FALSE	FALSE	2.344828497	-1.582972067922039
ACH-000683	ATP5PD	10476	-0.357320265847	COAD	WT	WT	2	FALSE	FALSE	8.97404167808	0.6398323890848922
ACH-000683	DCHS1	8642	-0.0575447736014	COAD	WT	WT	2	FALSE	FALSE	0.13750352375	-0.5996040099080744
ACH-000683	FAF2	23197	-0.531102888448	COAD	WT	WT	2	FALSE	FALSE	5.08915913191	0.8040397292889087
ACH-000683	GBA	2629	0.00459990397435	COAD	WT	WT	2	FALSE	FALSE	5.16108148228	0.4216874293760684
ACH-000683	KNTC1	9735	-0.400701941401	COAD	WT	WT	2	FALSE	FALSE	5.04045412135	-0.05009097684169943
ACH-000683	LIN7C	55327	-0.107077983831	COAD	WT	WT	2	FALSE	FALSE	3.50842865253	0.24629676411714832
ACH-000683	MTRF1L	54516	-0.371802219755	COAD	WT	WT	2	FALSE	FALSE	3.54473265593	-0.22204247166435997
ACH-000683	NECAP2	55707	-0.207730365996	COAD	WT	WT	2	FALSE	FALSE	4.8747969659	0.5939620603965896
ACH-000683	OCEL1	79629	0.0445755842891	COAD	WT	WT	2	FALSE	FALSE	3.59096124134	0.3828220852352066
ACH-000683	ORC4	5000	-0.509357519743	COAD	WT	WT	2	FALSE	FALSE	4.37016428054	-0.4611196356999074
ACH-000683	PAX6	5080	-0.0447049415223	COAD	WT	WT	2	FALSE	FALSE	1.23878685959	0.03136098857427499
ACH-000683	PRMT7	54496	-0.232881566886	COAD	WT	WT	2	FALSE	FALSE	4.93026424524	-0.38477320670096005
ACH-000683	PSMB7	5695	-0.546883508852	COAD	WT	WT	2	FALSE	FALSE	7.78332568481	-0.14002727590765512
ACH-000683	RNASE6	6039	0.327256877313	COAD	WT	WT	2	FALSE	FALSE	0	-0.9522058070538775
ACH-000683	RPP25	54913	0.323076160912	COAD	WT	WT	2	FALSE	FALSE	3.03386345187	-0.711027259489313
ACH-000683	SERPING1	710	-0.0782817952192	COAD	WT	WT	2	FALSE	FALSE	0.847996906555	1.5585585534974855
